Batch,Instance ID,Ship,Slot,Instance Count,Rounds,Instance Frames,Coordinated Record Frames,Action Requests,Exploratory Actions,Inference Mode,Batch Seconds,Batches/Hour,Kills,Average Kills,Deaths,Average Deaths,Score,Average Score,Epsilon,Learning Rate,Loss,Average Loss,Observation Seconds,Trainee Inference Seconds,Opponent Inference Seconds,Simulation Seconds,Simulation Ship Inputs Seconds,Simulation Tracking Seconds,Simulation Update Objects Seconds,Simulation Collision Seconds,Simulation Aftermath Seconds,Reward Seconds,Reward Decision Seconds,Reward Terminal Seconds,Reward Outcome Seconds,Reward Pipeline Seconds,Reward Replay Insert Seconds,Reward Accumulate Seconds,Reward Progress Seconds,Reward Flush Seconds,IPC Endpoint Seconds,Optimization Seconds,Save Seconds,Coordinator Timed Phase Total Seconds,Collision Possible Physical Pairs,Collision Candidate Pairs,Collision Dispatched Pairs,Collision Possible Laser Targets,Collision Laser Candidates,Collision Possible Area Targets,Collision Area Candidates,Collision Area Full Scan Fallbacks,Collision Spatial Queries,Collision Spatial Returned Candidates,Batch Wall Seconds,Worker Startup Seconds,Coordinator Unattributed Seconds,Worker Sum Active Seconds,Worker Max Active Seconds,Worker Sum Unattributed Seconds,Worker Max Unattributed Seconds,Worker Sum Window Start Seconds,Worker Sum Worker Step Seconds,Worker Sum Worker Finish Seconds,Worker Sum Observation Encode Seconds,Worker Sum Audio Seconds,Worker Sum Display Seconds,Worker Sum Simulation Seconds,Worker Sum Simulation Ship Inputs Seconds,Worker Sum Simulation Tracking Seconds,Worker Sum Simulation Update Objects Seconds,Worker Sum Simulation Collision Seconds,Worker Sum Simulation Aftermath Seconds,Worker Sum Reward Seconds,Worker Sum Reward Decision Seconds,Worker Sum Reward Terminal Seconds,Worker Sum Reward Outcome Seconds,Worker Sum Reward Pipeline Seconds,Worker Sum Reward Replay Insert Seconds,Worker Sum Reward Accumulate Seconds,Worker Sum Reward Progress Seconds,Worker Sum Reward Flush Seconds,Worker Sum Collision Possible Physical Pairs,Worker Sum Collision Candidate Pairs,Worker Sum Collision Dispatched Pairs,Worker Sum Collision Possible Laser Targets,Worker Sum Collision Laser Candidates,Worker Sum Collision Possible Area Targets,Worker Sum Collision Area Candidates,Worker Sum Collision Area Full Scan Fallbacks,Worker Sum Collision Spatial Queries,Worker Sum Collision Spatial Returned Candidates,Worker Max Window Start Seconds,Worker Max Worker Step Seconds,Worker Max Worker Finish Seconds,Worker Max Observation Encode Seconds,Worker Max Audio Seconds,Worker Max Display Seconds,Worker Max Simulation Seconds,Worker Max Reward Seconds,Parent Send Serialize Seconds,Parent Send Transfer Seconds,Parent Recv Transfer Seconds,Parent Recv Deserialize Seconds,Parent Sent Bytes,Parent Received Bytes,Parent Sent Messages,Parent Received Messages,Worker Wait Seconds,Worker Send Serialize Seconds,Worker Send Transfer Seconds,Worker Recv Transfer Seconds,Worker Recv Deserialize Seconds,Worker Sent Bytes,Worker Received Bytes,Worker Sent Messages,Worker Received Messages
89,110,Orz,1,25,25,30000,750000,750000,362259,batched_value_network:30000,264.928538,13.096557,31,41.100000,13,19.000000,1.240556,1.195066,0.492537,0.00030000,1.067926,0.829297,2.694980,68.219786,28.464859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,187.403643,3.286263,0.000000,102.665887,0,0,0,0,0,0,0,0,0,0,273.884148,5.471248,19.425446,1397.451725,74.629427,44.193479,1.883925,15.341687,1298.109605,84.000433,372.105189,1.787632,0.000000,705.272095,146.413277,14.379141,153.907774,345.591793,3.100216,116.384454,157.708876,3.011786,8.951767,16.690762,37.387197,5.216788,0.071241,41.756882,49264533,2087071,2087071,539034,14948,396847,32762,0,20220949,8922246,0.744932,70.254946,3.998700,18.708140,0.085495,0.000000,46.347412,5.309188,5.664421,5.524965,9.120774,6.363057,222666795,4689741160,751250,751250,119.648351,30.035167,99.636790,15.516943,15.541526,4689741160,222666795,751250,751250
90,110,Orz,1,25,25,30000,750000,750000,357010,batched_value_network:30000,242.751865,13.819936,45,41.600000,21,19.500000,1.737253,1.229305,0.490075,0.00030000,1.186578,0.854681,2.720549,68.359960,28.188295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,187.895538,3.004410,0.528526,102.801739,0,0,0,0,0,0,0,0,0,0,246.380532,0.000000,19.276072,1359.014325,71.006376,30.500537,1.362039,1.074584,1271.886067,86.053674,365.367379,1.806741,0.000000,684.901916,126.779626,14.568722,151.008837,348.056313,2.605567,117.913520,158.524232,3.004117,8.945881,16.648925,38.374347,5.467561,0.070909,41.954203,50041403,2123161,2123161,528405,16883,397962,31212,0,20350977,9049765,0.164382,68.175924,4.164368,17.250539,0.085667,0.000000,41.825494,5.210169,5.618722,5.588022,9.237658,6.343219,221521915,4640022341,751250,751250,97.515100,29.812259,100.989204,15.440948,14.865506,4640022341,221521915,751250,751250
91,110,Orz,1,25,25,30000,750000,750000,356110,batched_value_network:30000,285.785153,13.317053,38,40.800000,21,19.900000,1.235042,1.235560,0.487624,0.00030000,1.080903,0.884171,2.668209,66.332569,28.765091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,213.004166,3.332496,0.000000,101.098366,0,0,0,0,0,0,0,0,0,0,289.584860,0.000000,20.284166,1517.231596,79.882303,33.173322,1.482917,0.975653,1400.570342,115.685602,410.973179,1.992167,0.000000,750.749337,133.155418,15.743724,181.458105,372.655860,2.743431,150.931594,169.411998,3.179558,9.266409,18.527446,52.193495,6.862819,0.074122,56.892318,50189264,2001697,2001697,492995,14664,390479,31311,0,20565515,8846900,0.178489,75.852388,5.711896,20.659286,0.096895,0.000000,48.449211,6.758125,5.414585,5.211270,9.000300,6.327061,223620843,4731322393,751250,751250,142.249113,32.139900,121.823098,16.699952,16.387999,4731322393,223620843,751250,751250
