Timestamp,Event,Run ID,Instance ID,Ship,Slot,Batch,Running Instances,Total Seconds,Details
2026-07-13T00:00:34.323+00:00,batch_start,2026-07-12T23:51:44.035+00:00-2bc891cf,5,Druuge,1,14,7,,opponent_mode=all
2026-07-13T00:00:34.337+00:00,opponent_load_start,2026-07-12T23:51:44.035+00:00-2bc891cf,5,Druuge,1,14,7,,
2026-07-13T00:00:34.346+00:00,opponent_load_end,2026-07-12T23:51:44.035+00:00-2bc891cf,5,Druuge,1,14,7,0.000030,
2026-07-13T00:01:25.926+00:00,batch_aborted,2026-07-12T23:51:47.434+00:00-30804e67,6,Earthling,1,19,7,160.924133,
2026-07-13T00:01:25.928+00:00,batch_aborted,2026-07-12T23:51:41.012+00:00-f3a70aa4,4,Chmmr,1,19,7,180.130514,
2026-07-13T00:01:25.929+00:00,batch_aborted,2026-07-12T23:51:30.822+00:00-aff7087b,1,Androsynth,1,18,7,147.273429,
2026-07-13T00:01:25.932+00:00,batch_aborted,2026-07-12T23:51:44.035+00:00-2bc891cf,5,Druuge,1,14,7,51.608380,
2026-07-13T00:01:25.930+00:00,batch_aborted,2026-07-12T23:51:36.952+00:00-0e3cb84b,3,Chenjesu,1,18,7,134.391074,
2026-07-13T00:01:25.937+00:00,batch_aborted,2026-07-12T23:51:51.052+00:00-33883780,7,Ilwrath,1,18,7,159.969335,
2026-07-13T00:01:25.941+00:00,save_start,2026-07-12T23:51:47.434+00:00-30804e67,6,Earthling,1,18,7,,include_replay=True
2026-07-13T00:01:25.938+00:00,batch_aborted,2026-07-12T23:51:33.008+00:00-69f046b4,2,Arilou,1,18,7,156.016100,
2026-07-13T00:01:25.946+00:00,save_start,2026-07-12T23:51:41.012+00:00-f3a70aa4,4,Chmmr,1,18,7,,include_replay=True
2026-07-13T00:01:25.947+00:00,save_start,2026-07-12T23:51:30.822+00:00-aff7087b,1,Androsynth,1,17,7,,include_replay=True
2026-07-13T00:01:25.949+00:00,save_start,2026-07-12T23:51:44.035+00:00-2bc891cf,5,Druuge,1,13,7,,include_replay=True
2026-07-13T00:01:25.955+00:00,save_start,2026-07-12T23:51:36.952+00:00-0e3cb84b,3,Chenjesu,1,17,7,,include_replay=True
2026-07-13T00:01:25.958+00:00,save_start,2026-07-12T23:51:51.052+00:00-33883780,7,Ilwrath,1,17,7,,include_replay=True
2026-07-13T00:01:25.964+00:00,save_start,2026-07-12T23:51:33.008+00:00-69f046b4,2,Arilou,1,17,7,,include_replay=True
2026-07-13T00:01:50.360+00:00,save_end,2026-07-12T23:51:33.008+00:00-69f046b4,2,Arilou,1,17,7,24.386794,include_replay=True
2026-07-13T00:01:50.361+00:00,save_end,2026-07-12T23:51:41.012+00:00-f3a70aa4,4,Chmmr,1,18,7,24.395677,include_replay=True
2026-07-13T00:01:50.683+00:00,save_end,2026-07-12T23:51:51.052+00:00-33883780,7,Ilwrath,1,17,5,24.711454,include_replay=True
2026-07-13T00:01:50.775+00:00,save_end,2026-07-12T23:51:36.952+00:00-0e3cb84b,3,Chenjesu,1,17,4,24.803334,include_replay=True
2026-07-13T00:01:50.863+00:00,save_end,2026-07-12T23:51:30.822+00:00-aff7087b,1,Androsynth,1,17,3,24.897100,include_replay=True
2026-07-13T00:01:50.948+00:00,save_end,2026-07-12T23:51:47.434+00:00-30804e67,6,Earthling,1,18,2,24.986600,include_replay=True
2026-07-13T00:01:51.053+00:00,save_end,2026-07-12T23:51:44.035+00:00-2bc891cf,5,Druuge,1,13,1,25.083167,include_replay=True
